Codigo_Barras;SKU_Interno;Descripcion;Fabricante;Contenido;Precio_Lista;Descuento_Porc
779100000301;SKU-10300;COCA-COLA GASEOSA COLA 1500 ML;Coca-Cola;1500 ml;3598.38;10.0
779100000302;SKU-10301;SPRITE GASEOSA LIMA LIMON 500 ML;Sprite;500 ml;1468.27;5.0
779100000303;SKU-10302;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2207.78;5.0
779100000304;SKU-10303;LA SERENÍSIMA LECHE ENTERA TETRA 1L;La Serenísima;Tetra 1L;1367.22;10.0
779100000305;SKU-10304;SANCOR LECHE DESCREMADA 1000 CC;Sancor;1000 cc;1526.15;10.0
779100000306;SKU-10305;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 180 G;La Serenísima;180 g;1932.34;0.0
779100000307;SKU-10306;SAN IGNACIO DULCE DE LECHE CLASICO 1000 G;San Ignacio;1000 g;2394.74;5.0
779100000308;SKU-10307;NATURA ACEITE GIRASOL 3 L;Natura;3 l;2376.73;0.0
779100000309;SKU-10308;COCINERO ACEITE MEZCLA 900 ML;Cocinero;900 ml;1749.98;0.0
779100000310;SKU-10309;GALLO ARROZ LARGO FINO 500 G;Gallo;500 g;1108.92;5.0
779100000311;SKU-10310;MATARAZZO FIDEOS GUISEROS 500 G;Matarazzo;500 g;747.26;10.0
779100000312;SKU-10311;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;684.2;5.0
779100000313;SKU-10312;MAROLIO PURE DE TOMATE 520 G;Marolio;520 g;802.76;0.0
779100000314;SKU-10313;HELLMANNS MAYONESA CLASICA 1000 GR;Hellmanns;1000 gr;2969.92;5.0
779100000315;SKU-10314;ARCOR GALLETITAS DULCES 300 G;Arcor;300 g;1227.52;0.0
779100000316;SKU-10315;TERRABUSI GALLETITAS DE AGUA 100 G;Terrabusi;100 g;1072.67;5.0
779100000317;SKU-10316;HEAD & SHOULDERS SHAMPOO ANTICASPA 400 ML;Head & Shoulders;400 ml;4654.82;10.0
779100000318;SKU-10317;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;1850.38;0.0
779100000319;SKU-10318;REXONA DESODORANTE AEROSOL 150 ML;Rexona;150 ml;2770.24;10.0
779100000320;SKU-10319;COLGATE CREMA DENTAL TRIPLE ACCION 70 G;Colgate;70 g;1975.11;5.0
779100000321;SKU-10320;COCA-COLA GASEOSA COLA 500 ML;Coca-Cola;500 ml;1873.27;5.0
779100000322;SKU-10321;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;5239.19;5.0
779100000323;SKU-10322;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2516.82;5.0
779100000324;SKU-10323;LA SERENÍSIMA LECHE ENTERA 1000 CC;La Serenísima;1000 cc;1263.17;5.0
779100000325;SKU-10324;SANCOR LECHE DESCREMADA 1000 ML;Sancor;1000 ml;1219.84;10.0
779100000326;SKU-10325;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2022.86;10.0
779100000327;SKU-10326;SAN IGNACIO DULCE DE LECHE CLASICO 400 G;San Ignacio;400 g;2712.89;5.0
779100000328;SKU-10327;NATURA ACEITE GIRASOL 900 ML;Natura;900 ml;1994.44;0.0
779100000329;SKU-10328;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2380.57;5.0
779100000330;SKU-10329;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1900.76;0.0
779100000331;SKU-10330;MATARAZZO FIDEOS GUISEROS 500 GR;Matarazzo;500 gr;833.24;5.0
779100000332;SKU-10331;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;765.05;0.0
779100000333;SKU-10332;MAROLIO PURE DE TOMATE 520 GR;Marolio;520 gr;766.4;0.0
779100000334;SKU-10333;HELLMANNS MAYONESA CLASICA 475 G;Hellmanns;475 g;2950.48;10.0
779100000335;SKU-10334;ARCOR GALLETITAS DULCES 120 G;Arcor;120 g;1131.09;0.0
779100000336;SKU-10335;TERRABUSI GALLETITAS DE AGUA 300 G;Terrabusi;300 g;917.0;5.0
779100000337;SKU-10336;HEAD & SHOULDERS SHAMPOO ANTICASPA 200 ML;Head & Shoulders;200 ml;1914.23;5.0
779100000338;SKU-10337;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4626.51;0.0
779100000339;SKU-10338;REXONA DESODORANTE AEROSOL 150 CC;Rexona;150 cc;2905.89;0.0
779100000340;SKU-10339;COLGATE CREMA DENTAL TRIPLE ACCION 90 G;Colgate;90 g;2149.07;5.0
779100000341;SKU-10340;COCA-COLA GASEOSA COLA 354 ML;Coca-Cola;354 ml;1307.48;0.0
779100000342;SKU-10341;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;5337.47;10.0
779100000343;SKU-10342;QUILMES CERVEZA RUBIA 473 ML;Quilmes;473 ml;1289.78;10.0
779100000344;SKU-10343;LA SERENÍSIMA LECHE ENTERA 1000 ML;La Serenísima;1000 ml;1363.31;0.0
779100000345;SKU-10344;SANCOR LECHE DESCREMADA TETRA 1L;Sancor;Tetra 1L;1388.93;0.0
779100000346;SKU-10345;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 G;La Serenísima;1000 g;2337.88;0.0
779100000347;SKU-10346;SAN IGNACIO DULCE DE LECHE CLASICO 400 GR;San Ignacio;400 gr;2869.27;10.0
779100000348;SKU-10347;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3272.94;5.0
779100000349;SKU-10348;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2680.78;5.0
779100000350;SKU-10349;GALLO ARROZ LARGO FINO 1000 G;Gallo;1000 g;1844.97;5.0
779100000351;SKU-10350;MATARAZZO FIDEOS GUISEROS 1000 GR;Matarazzo;1000 gr;1413.26;0.0
779100000352;SKU-10351;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;715.93;0.0
779100000353;SKU-10352;MAROLIO PURE DE TOMATE TETRA 520G;Marolio;Tetra 520g;803.28;5.0
779100000354;SKU-10353;HELLMANNS MAYONESA CLASICA 500 G;Hellmanns;500 g;1472.57;10.0
779100000355;SKU-10354;ARCOR GALLETITAS DULCES 160 G;Arcor;160 g;1008.27;5.0
779100000356;SKU-10355;TERRABUSI GALLETITAS DE AGUA PACK X3 300G;Terrabusi;Pack x3 300g;2612.93;5.0
779100000357;SKU-10356;HEAD & SHOULDERS SHAMPOO ANTICASPA 750 ML;Head & Shoulders;750 ml;4071.03;5.0
779100000358;SKU-10357;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;2034.59;0.0
779100000359;SKU-10358;REXONA DESODORANTE AEROSOL PACK X2;Rexona;Pack x2;7442.62;0.0
779100000360;SKU-10359;COLGATE CREMA DENTAL TRIPLE ACCION 140 G;Colgate;140 g;1854.37;5.0
779100000361;SKU-10360;COCA-COLA GASEOSA COLA 2250 ML;Coca-Cola;2250 ml;5111.86;5.0
779100000362;SKU-10361;SPRITE GASEOSA LIMA LIMON 1500 ML;Sprite;1500 ml;3430.56;10.0
779100000363;SKU-10362;QUILMES CERVEZA RUBIA 710 ML;Quilmes;710 ml;2100.78;10.0
779100000364;SKU-10363;LA SERENÍSIMA LECHE ENTERA SACHET 1L;La Serenísima;Sachet 1L;1480.64;10.0
779100000365;SKU-10364;SANCOR LECHE DESCREMADA 1000 CC;Sancor;1000 cc;1373.4;5.0
779100000366;SKU-10365;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2038.97;5.0
779100000367;SKU-10366;SAN IGNACIO DULCE DE LECHE CLASICO 1000 GR;San Ignacio;1000 gr;2704.59;10.0
779100000368;SKU-10367;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3401.7;10.0
779100000369;SKU-10368;COCINERO ACEITE MEZCLA 900 ML;Cocinero;900 ml;1558.46;0.0
779100000370;SKU-10369;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1761.98;10.0
779100000371;SKU-10370;MATARAZZO FIDEOS GUISEROS 500 G;Matarazzo;500 g;773.14;5.0
779100000372;SKU-10371;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;818.48;0.0
779100000373;SKU-10372;MAROLIO PURE DE TOMATE 520 G;Marolio;520 g;884.28;0.0
779100000374;SKU-10373;HELLMANNS MAYONESA CLASICA 950 G;Hellmanns;950 g;2676.24;5.0
779100000375;SKU-10374;ARCOR GALLETITAS DULCES PACK X3;Arcor;Pack x3;2675.63;0.0
779100000376;SKU-10375;TERRABUSI GALLETITAS DE AGUA 100 G;Terrabusi;100 g;1009.01;0.0
779100000377;SKU-10376;HEAD & SHOULDERS SHAMPOO ANTICASPA 400 ML;Head & Shoulders;400 ml;4100.29;5.0
779100000378;SKU-10377;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4295.39;10.0
779100000379;SKU-10378;REXONA DESODORANTE AEROSOL 150 ML;Rexona;150 ml;2914.94;10.0
779100000380;SKU-10379;COLGATE CREMA DENTAL TRIPLE ACCION 70 G;Colgate;70 g;2034.02;0.0
779100000381;SKU-10380;COCA-COLA GASEOSA COLA 2250 ML;Coca-Cola;2250 ml;5252.04;0.0
779100000382;SKU-10381;SPRITE GASEOSA LIMA LIMON 500 ML;Sprite;500 ml;1697.64;5.0
779100000383;SKU-10382;QUILMES CERVEZA RUBIA PACK X6;Quilmes;Pack x6;11809.72;5.0
779100000384;SKU-10383;LA SERENÍSIMA LECHE ENTERA TETRA 1L;La Serenísima;Tetra 1L;1432.46;10.0
779100000385;SKU-10384;SANCOR LECHE DESCREMADA 1000 ML;Sancor;1000 ml;1544.13;0.0
779100000386;SKU-10385;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 180 G;La Serenísima;180 g;2158.53;5.0
779100000387;SKU-10386;SAN IGNACIO DULCE DE LECHE CLASICO 1000 G;San Ignacio;1000 g;2736.64;5.0
779100000388;SKU-10387;NATURA ACEITE GIRASOL 3 L;Natura;3 l;2586.82;5.0
779100000389;SKU-10388;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2445.25;5.0
779100000390;SKU-10389;GALLO ARROZ LARGO FINO 500 G;Gallo;500 g;1023.71;5.0
779100000391;SKU-10390;MATARAZZO FIDEOS GUISEROS 500 GR;Matarazzo;500 gr;815.27;0.0
779100000392;SKU-10391;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;693.28;5.0
779100000393;SKU-10392;MAROLIO PURE DE TOMATE 520 GR;Marolio;520 gr;821.25;5.0
779100000394;SKU-10393;HELLMANNS MAYONESA CLASICA 1000 GR;Hellmanns;1000 gr;2349.95;5.0
779100000395;SKU-10394;ARCOR GALLETITAS DULCES 300 G;Arcor;300 g;1238.03;0.0
779100000396;SKU-10395;TERRABUSI GALLETITAS DE AGUA 300 G;Terrabusi;300 g;981.09;10.0
779100000397;SKU-10396;HEAD & SHOULDERS SHAMPOO ANTICASPA 200 ML;Head & Shoulders;200 ml;2154.13;5.0
779100000398;SKU-10397;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;2077.01;0.0
779100000399;SKU-10398;REXONA DESODORANTE AEROSOL 150 CC;Rexona;150 cc;3098.88;5.0
779100000400;SKU-10399;COLGATE CREMA DENTAL TRIPLE ACCION 90 G;Colgate;90 g;1791.65;0.0
779100000401;SKU-10400;COCA-COLA GASEOSA COLA 2.25L;Coca-Cola;2.25L;5633.3;10.0
779100000402;SKU-10401;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;5055.88;5.0
779100000403;SKU-10402;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2420.86;5.0
779100000404;SKU-10403;LA SERENÍSIMA LECHE ENTERA 1000 CC;La Serenísima;1000 cc;1430.14;0.0
779100000405;SKU-10404;SANCOR LECHE DESCREMADA TETRA 1L;Sancor;Tetra 1L;1440.9;0.0
779100000406;SKU-10405;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2292.0;5.0
779100000407;SKU-10406;SAN IGNACIO DULCE DE LECHE CLASICO 400 G;San Ignacio;400 g;2479.76;0.0
779100000408;SKU-10407;NATURA ACEITE GIRASOL 900 ML;Natura;900 ml;2110.13;0.0
779100000409;SKU-10408;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2408.13;5.0
779100000410;SKU-10409;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1798.36;5.0
779100000411;SKU-10410;MATARAZZO FIDEOS GUISEROS 1000 GR;Matarazzo;1000 gr;1421.17;0.0
779100000412;SKU-10411;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;830.16;0.0
779100000413;SKU-10412;MAROLIO PURE DE TOMATE TETRA 520G;Marolio;Tetra 520g;947.29;5.0
779100000414;SKU-10413;HELLMANNS MAYONESA CLASICA 475 G;Hellmanns;475 g;2692.77;5.0
779100000415;SKU-10414;ARCOR GALLETITAS DULCES 120 G;Arcor;120 g;1054.05;10.0
779100000416;SKU-10415;TERRABUSI GALLETITAS DE AGUA PACK X3 300G;Terrabusi;Pack x3 300g;2582.55;5.0
779100000417;SKU-10416;HEAD & SHOULDERS SHAMPOO ANTICASPA 750 ML;Head & Shoulders;750 ml;4747.47;5.0
779100000418;SKU-10417;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4049.25;5.0
779100000419;SKU-10418;REXONA DESODORANTE AEROSOL PACK X2;Rexona;Pack x2;7698.18;5.0
779100000420;SKU-10419;COLGATE CREMA DENTAL TRIPLE ACCION 140 G;Colgate;140 g;1820.65;10.0
779100000421;SKU-10420;COCA-COLA GASEOSA COLA 1500 ML;Coca-Cola;1500 ml;3321.2;0.0
779100000422;SKU-10421;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;4609.94;10.0
779100000423;SKU-10422;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2266.81;10.0
779100000424;SKU-10423;LA SERENÍSIMA LECHE ENTERA 1000 ML;La Serenísima;1000 ml;1459.06;0.0
779100000425;SKU-10424;SANCOR LECHE DESCREMADA 1000 CC;Sancor;1000 cc;1246.33;10.0
779100000426;SKU-10425;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 G;La Serenísima;1000 g;2194.71;0.0
779100000427;SKU-10426;SAN IGNACIO DULCE DE LECHE CLASICO 400 GR;San Ignacio;400 gr;2286.82;5.0
779100000428;SKU-10427;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3126.57;0.0
779100000429;SKU-10428;COCINERO ACEITE MEZCLA 900 ML;Cocinero;900 ml;1912.49;0.0
779100000430;SKU-10429;GALLO ARROZ LARGO FINO 1000 G;Gallo;1000 g;1896.75;0.0
779100000431;SKU-10430;MATARAZZO FIDEOS GUISEROS 500 G;Matarazzo;500 g;717.48;0.0
779100000432;SKU-10431;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;836.89;10.0
779100000433;SKU-10432;MAROLIO PURE DE TOMATE 520 G;Marolio;520 g;889.54;0.0
779100000434;SKU-10433;HELLMANNS MAYONESA CLASICA 500 G;Hellmanns;500 g;1743.07;0.0
779100000435;SKU-10434;ARCOR GALLETITAS DULCES 160 G;Arcor;160 g;1118.26;10.0
779100000436;SKU-10435;TERRABUSI GALLETITAS DE AGUA 100 G;Terrabusi;100 g;863.91;10.0
779100000437;SKU-10436;HEAD & SHOULDERS SHAMPOO ANTICASPA 400 ML;Head & Shoulders;400 ml;4724.46;10.0
779100000438;SKU-10437;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;1976.52;10.0
779100000439;SKU-10438;REXONA DESODORANTE AEROSOL 150 ML;Rexona;150 ml;2891.0;0.0
779100000440;SKU-10439;COLGATE CREMA DENTAL TRIPLE ACCION 70 G;Colgate;70 g;2153.62;5.0
779100000441;SKU-10440;COCA-COLA GASEOSA COLA 500 ML;Coca-Cola;500 ml;1769.63;5.0
779100000442;SKU-10441;SPRITE GASEOSA LIMA LIMON 1500 ML;Sprite;1500 ml;3603.72;0.0
779100000443;SKU-10442;QUILMES CERVEZA RUBIA 473 ML;Quilmes;473 ml;1459.11;10.0
779100000444;SKU-10443;LA SERENÍSIMA LECHE ENTERA SACHET 1L;La Serenísima;Sachet 1L;1541.83;5.0
779100000445;SKU-10444;SANCOR LECHE DESCREMADA 1000 ML;Sancor;1000 ml;1272.12;5.0
779100000446;SKU-10445;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;1939.38;0.0
779100000447;SKU-10446;SAN IGNACIO DULCE DE LECHE CLASICO 1000 GR;San Ignacio;1000 gr;2302.06;10.0
779100000448;SKU-10447;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;2863.69;5.0
779100000449;SKU-10448;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2778.71;5.0
779100000450;SKU-10449;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;2023.77;5.0
779100000451;SKU-10450;MATARAZZO FIDEOS GUISEROS 500 GR;Matarazzo;500 gr;825.8;10.0
779100000452;SKU-10451;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;698.11;10.0
779100000453;SKU-10452;MAROLIO PURE DE TOMATE 520 GR;Marolio;520 gr;803.53;0.0
779100000454;SKU-10453;HELLMANNS MAYONESA CLASICA 950 G;Hellmanns;950 g;2194.44;5.0
779100000455;SKU-10454;ARCOR GALLETITAS DULCES PACK X3;Arcor;Pack x3;3218.91;0.0
779100000456;SKU-10455;TERRABUSI GALLETITAS DE AGUA 300 G;Terrabusi;300 g;901.89;10.0
779100000457;SKU-10456;HEAD & SHOULDERS SHAMPOO ANTICASPA 200 ML;Head & Shoulders;200 ml;2134.31;10.0
